58336	-23.575	11.187	1.7207	672.79	-3.8302	0.17441	939.55	4.7405	-13.037	-13.097
60337	-26.096	13.482	1.6973	673.19	-4.4092	0.17157	941.23	4.7637	-13.493	-13.269
62335	-21.021	4.5985	1.7037	678.85	-3.0962	0.17408	940.5	4.7419	-12.347	-13.065
64343	-27.963	16.307	1.6909	681.81	-5.3867	0.17252	939.81	4.6998	-14.23	-13.529
66334	-23.004	8.4717	1.7034	671.56	-3.55	0.17841	937.82	4.697	-12.853	-13.242
68336	-23.968	10.392	1.6979	675.49	-3.852	0.17398	937.81	4.7155	-13.034	-12.96
70350	-29.565	18.394	1.7126	664.56	-5.6543	0.17096	940.59	4.7449	-14.82	-13.851
72325	-15.508	-8.2187	1.7249	678.07	-1.875	0.17487	942.37	4.764	-10.818	-12.572
74360	-32.291	21.628	1.6469	675.74	-6.7703	0.1713	936.17	4.6819	-16.026	-13.812
76326	-15.643	-6.3187	1.7816	676.36	-2.0092	0.17485	945.71	4.7928	-10.746	-12.78
78365	-33.277	22.027	1.6687	676.2	-6.8468	0.17334	935.45	4.6665	-16.263	-13.816
80322	-12.018	-8.5844	1.7874	668.11	-1.6203	0.17491	947.47	4.8163	-10.21	-12.504
86340	-27.109	15.489	1.6839	669.29	-5.1014	0.1714	939.08	4.7254	-14.082	-13.049
88336	-24.097	10.618	1.7019	672.68	-3.8702	0.17174	941.12	4.7378	-13.158	-13.182
90334	-23.408	9.6811	1.716	668.26	-3.7159	0.17689	937.19	4.6806	-12.924	-12.883
92341	-23.567	10.064	1.7011	666.55	-3.8919	0.17277	939.04	4.7332	-13.112	-13.085
94340	-25.035	12.344	1.6862	669.9	-4.2661	0.1723	939.73	4.728	-13.563	-13.417
96342	-23.839	9.9411	1.7012	679.42	-4.0149	0.17399	938.83	4.7237	-13.333	-13.506
6373	-33.016	22.287	1.6491	665.6	-7.0449	0.17145	935.59	4.6781	-16.37	-13.753
8330	-17.188	-5.1036	1.7378	672.42	-2.17	0.17232	944.54	4.7903	-11.227	-12.665
10350	-29.788	18.502	1.683	668.89	-5.748	0.1695	938.17	4.7248	-14.933	-13.437
12327	-19.471	1.2551	1.7162	675.66	-2.7659	0.17455	941.89	4.7635	-11.884	-12.923
14351	-30.006	18.372	1.677	676.73	-5.7798	0.17133	938.8	4.7194	-14.805	-13.406
16329	-15.386	-8.4809	1.7597	668.77	-1.8813	0.17686	941.31	4.7693	-10.769	-12.71
26353	-30.065	18.38	1.6718	663.48	-5.6343	0.17159	938.14	4.7213	-14.73	-13.185
28333	-19.149	-1.3805	1.7429	670.04	-2.6411	0.17352	941.86	4.7658	-11.893	-13.118
42341	-26.945	15.142	1.6688	674.72	-4.8945	0.17231	939.05	4.7093	-14.001	-13.007
44344	-26.449	13.938	1.72	671.96	-4.6172	0.17386	938.98	4.7208	-13.75	-13.259
46340	-23.627	10.32	1.7357	668.93	-3.919	0.17307	941.52	4.7444	-13.136	-13.368
48334	-22.352	7.2068	1.6835	674.51	-3.3208	0.17299	939.43	4.7319	-12.638	-12.763
50349	-27.969	16.457	1.7121	677.14	-5.2997	0.16999	941.44	4.7597	-14.325	-13.6
52328	-19.771	2.0259	1.7321	676.99	-3.0347	0.17304	942.47	4.7824	-12.138	-13.373
54358	-31.197	19.768	1.6835	666.5	-6.191	0.17643	933.94	4.6614	-15.291	-13.57
56327	-16.16	-10.169	1.7155	667.43	-1.7279	0.17625	942.3	4.7783	-10.53	-12.585
62342	-26.501	13.802	1.6663	667.34	-4.5361	0.17312	937.58	4.7223	-13.804	-13.043
64344	-25.92	13.733	1.6939	671.63	-4.6075	0.17445	938.01	4.7023	-13.722	-13.118
66336	-21.303	4.5974	1.708	665.55	-3.1817	0.17287	940.86	4.767	-12.419	-13.131
68344	-27.347	15.312	1.6869	667.34	-4.9284	0.17327	937.03	4.7064	-14.354	-13.526
70330	-21.997	6.1081	1.7131	671.09	-3.3835	0.17356	940.55	4.7497	-12.538	-12.905
72342	-25.19	12.607	1.6851	678.18	-4.2979	0.17363	939.29	4.7298	-13.567	-13.26
74332	-22.979	8.9175	1.7135	674.63	-3.6806	0.17297	940.87	4.7597	-12.895	-13.188
76336	-24.289	11.246	1.6853	668.32	-4.1171	0.17436	937.68	4.7176	-13.367	-13.361
78341	-23.252	9.4193	1.7102	682.34	-3.8163	0.17249	939.17	4.7247	-13.157	-13.316
80346	-28.964	17.841	1.6999	673.18	-5.4353	0.17407	936.85	4.7056	-14.754	-13.579
82325	-16.19	-7.7707	1.7429	672.5	-1.9792	0.17172	944.94	4.8072	-10.862	-12.619
84380	-36.024	24.631	1.6423	668.71	-8.1327	0.17203	936.45	4.6895	-17.157	-14.406
86325	-10.581	-8.2109	1.8118	668.75	-1.5977	0.17302	949.59	4.8498	-10.185	-12.426
88351	-29.27	17.733	1.6701	678.88	-5.3223	0.1694	940.65	4.7531	-14.631	-13.498
90337	-19.046	-3.5406	1.7485	668.27	-2.6339	0.17484	941.72	4.7532	-11.832	-13.121
92373	-35.061	24.228	1.6872	677.73	-7.8629	0.17241	936.52	4.7052	-17.019	-14.553
94320	-10.263	-7.9235	1.7896	670.69	-1.4841	0.17291	949.22	4.8544	-10.121	-12.231
96340	-25.239	12.538	1.6737	673.67	-4.2747	0.17152	939.68	4.7532	-13.418	-12.994
